,project,dependencyProblems,nonDependencyProblems,cranDependencies,nonCranDependencies,createdAtMillis,descriptionChurn,sourceContributors,issueContributors,PRContributors,forksCount,watchersCount,starsCount,isCRAN,sourceLOC,soureceFiles,commentsCount,downstreamProjects,upstreamContributions,upstreamContributionsFraction,upstreamIssueContributions,upstreamIssueContributionsFraction,upstreamAllContributions,upstreamAllContributionsFraction,uniqueUsersAll,averageUpstreamVersion,averageUpstreamReleases,averageUpstreamAge
2320,drammock_phonr,0,41,3,0,1341985265000,20,1,3,3,1,4,4,True,1120,1,218,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.6666666666666665,3.5692026649473463,3102.0
2323,shabbychef_madness,1,4,7,1,1449027127000,33,1,1,1,0,0,0,True,1538,30,2222,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.333333333333333,1.8816015358618712,2767.5
2325,trulia_choroplethrmaps,0,1,1,0,1414014668000,4,2,0,1,6,5,5,True,6,3,101,38.0,1.0,0.5,0.0,0.0,1.0,0.5,1,3.0,1.8826563507414567,3102.0
2327,robertzk_syberiamungebits,4,50,11,3,1388439241000,65,8,5,14,5,2,2,False,376,23,278,2.0,12.0,0.13636363636363635,28.0,0.18181818181818185,28.0,0.1696969696969697,14,1.7,2.5272536707406212,1848.1
2330,timpeters82_dmrcate-devel,0,1,3,12,1395036458000,41,2,0,1,1,2,2,False,510,11,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.25,4.003656307129798,1392.333333333333
2332,ben-domingue_herithelper,0,2,0,1,1380674548000,1,1,1,1,0,1,1,False,178,5,135,1.0,,,,,,,1,,,
2339,jknowles_modelews,1,0,37,3,1435765623000,1,1,1,1,0,2,2,False,1329,17,1339,0.0,3.0,0.2307692307692308,1.0,0.07692307692307693,5.0,0.19230769230769232,1,2.608695652173913,2.658679268484468,2781.95652173913
2340,gavinha_titancna,0,3,1,4,1421802399000,11,1,4,4,3,4,4,False,2192,6,380,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.0,,
2341,stuartwagenius_echinacealab,0,10,1,0,1354318797000,8,4,2,4,4,1,1,False,489,8,593,0.0,,,,,,,4,,,
2344,fmichonneau_cipresr,3,2,6,0,1441662195000,8,1,1,1,0,0,0,False,603,13,265,1.0,0.0,0.0,1.0,0.2,1.0,0.2,1,1.5,2.3448309103466305,1169.0
2345,kimjam_khanelo,0,2,4,0,1437491890000,6,1,1,2,0,1,1,False,633,5,129,0.0,0.0,0.0,1.0,0.125,1.0,0.125,2,2.0,1.925904384671507,1915.75
2346,revolutionanalytics_dplyr-spark,14,19,8,1,1432156218000,12,1,2,3,8,32,32,False,396,4,82,0.0,0.0,0.0,6.0,0.2857142857142857,6.0,0.2857142857142857,3,1.4,2.4535583268322783,1051.8
2347,geneorama_geneorama,1,0,17,8,1329006651000,8,1,1,1,1,1,1,False,2856,77,2481,4.0,0.0,0.0,1.0,0.2,1.0,0.2,1,2.1666666666666665,2.6550436854799377,3102.166666666666
2353,karawoo_startrek,0,5,6,0,1414456311000,6,4,4,4,1,2,2,False,129,7,92,1.0,0.0,0.0,2.0,0.1,2.0,0.08,4,1.4,1.809128282121398,982.6
2354,robertness_lucy,1,4,9,2,1424879147000,11,1,2,2,3,12,12,False,521,7,288,2.0,1.0,0.125,2.0,0.125,2.0,0.125,2,2.1,2.6675983353169697,1960.1
2358,mbertalan_ipsychcnv,0,9,13,12,1423597324000,26,5,2,2,6,2,2,False,2633,60,1243,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.5,2.2292231919697483,2871.0
2360,ryanhope_gazetools,3,3,5,1,1353522181000,50,1,3,3,1,8,8,True,410,9,333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.0,2.0102429278807388,3175.0
2361,spedygiorgio_lifecontingencies,0,4,8,4,1425166844000,13,2,3,4,3,5,5,True,2009,18,659,4.0,1.0,0.07142857142857142,4.0,0.14285714285714285,4.0,0.14285714285714285,4,2.6666666666666665,5.372256265457487,1398.666666666667
2363,mangothecat_functionmap,3,25,5,2,1444912193000,14,1,1,1,1,2,2,False,1452,28,696,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1,2.6,2.3553848749413167,2048.4
2364,dkahle_mpoly,1,1,12,1,1417893023000,14,1,3,3,0,0,0,True,1434,36,1907,5.0,0.0,0.0,5.0,0.3333333333333333,6.0,0.4,3,2.0,1.3922790067613402,2781.1111111111113
2368,psepho_tovotes,0,4,9,0,1410469116000,9,1,1,1,0,0,0,False,307,6,208,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.5555555555555556,3.716881645955352,1723.2222222222224
2369,ropensci_rerddap,7,30,12,3,1416643112000,50,2,2,2,1,8,8,True,919,23,849,0.0,1.0,0.1,3.0,0.3,3.0,0.2,2,1.9166666666666667,2.690017503863896,1839.833333333333
